Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Market Cap History,Stock Price,Dividends,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
JBL,Jabil Inc.,United States,USD,technology,electronic-components,14205120512.0,"[14205120512, 10252684533.050537, 6948715283.718109, 6592687677.944183]","[117.79000091552734, 85.01608276367188, 57.61930465698242, 54.66709518432617]","[0.0, 0.32, 0.32, 0.32]","[14730000000.0, 13908000000.0, 10877000000.0, 9135000000.0]","[4694000000.0, 5809000000.0, 5777000000.0, 5262000000.0]","[16557000000.0, 17265000000.0, 14517000000.0, 12572000000.0]","[818000000.0, 996000000.0, 696000000.0, 54000000.0]","[0.1657419550921155, 0.20918669750923766, 0.15749629849979377, 0.020929720202687813]",15753538219.39376,1.109004193669861
KEX,Kirby Corporation,United States,USD,industrials,marine-shipping,7097441792.0,"[7097441792, 4276304911.04126, 3729451071.166992, 3892690804.2907715]","[121.73999786376953, 73.3499984741211, 63.970001220703125, 66.7699966430664]","[0.0, 0.0, 0.0, 0.0]","[1135161000.0, 1211759000.0, 1003865000.0, 1047971000.0]","[4587036000.0, 4343165000.0, 4395198000.0, 4876203000.0]","[2535520000.0, 2509756000.0, 2510281000.0, 2836621000.0]","[222935000.0, 122291000.0, -246954000.0, -272546000.0]","[0.06242695348599908, 0.03782655147345554, NaN, NaN]",1384754.3895630836,0.0001951061283974
ESP,Espey Mfg. & Electronics Corp.,United States,USD,industrials,electrical-equipment-parts,57306036.0,"[57306036, 46133338.798828125, 38437370.6602478, 39993862.434425354]","[20.829999923706055, 16.881591796875, 14.06540298461914, 14.634970664978027]","[0.0, 0.575, 0.1, 0.0]","[44676434.0, 37099236.0, 34990284.0, 34741988.0]","[2825089.0, 2797993.0, 2990519.0, 3466778.0]","[11621765.0, 7797615.0, 7648508.0, 6981918.0]","[3677131.0, 1265127.0, -181543.0, 1163668.0]","[0.09363418799780208, 0.037831309439871695, NaN, 0.033368779601380745]",59850384.86510736,1.0443993171174386
AMZN,"Amazon.com, Inc.",United States,USD,consumer-cyclical,internet-retail,1910034661376.0,"[1910034661376, 1196654874972.3047, 1119302633524.5703, 1688465557940.3906]","[183.14999389648438, 114.98999786376953, 107.55699920654297, 162.24949645996094]","[NaN, NaN, NaN, NaN]","[172351000000.0, 146791000000.0, 161580000000.0, 132733000000.0]","[355503000000.0, 315884000000.0, 258969000000.0, 188462000000.0]","[325979000000.0, 316632000000.0, 282304000000.0, 227791000000.0]","[30425000000.0, -2722000000.0, 33364000000.0, 21331000000.0]","[0.12689145655526707, NaN, 0.18686567606830057, 0.18181578880926375]",,
SLCA,"U.S. Silica Holdings, Inc.",United States,USD,energy,oil-gas-equipment-services,1209526656.0,"[1209526656, 996218700.0, 1336105109.8060608, 886048643.9224243]","[15.479999542236328, 12.75, 17.100000381469727, 11.34000015258789]","[0.0, 0.0, 0.0, 0.0]","[600744000.0, 657284000.0, 575915000.0, 486313000.0]","[1495849000.0, 1557296000.0, 1643685000.0, 1760634000.0]","[1241066000.0, 1509886000.0, 1605517000.0, 1620156000.0]","[146925000.0, 78176000.0, -33761000.0, -114094000.0]","[0.1318103213994464, 0.07750549241079058, NaN, NaN]",892341809.8731303,0.7377611774379368
NOW,"ServiceNow, Inc.",United States,USD,technology,software-application,159592087552.0,"[159592087552, 102719756488.52539, 88338904837.1582, 97835766511.47461]","[777.0499877929688, 500.1400146484375, 430.1199951171875, 476.3599853515625]","[NaN, NaN, NaN, NaN]","[7777000000.0, 6654000000.0, 5220000000.0, 4522000000.0]","[9610000000.0, 6645000000.0, 5578000000.0, 4193000000.0]","[9759000000.0, 8267000000.0, 7103000000.0, 5881000000.0]","[1731000000.0, 325000000.0, 230000000.0, 119000000.0]","[0.19440700808625336, 0.053236035778307385, 0.04503691106676754, 0.03244970943227537]",19463869797.764927,0.1219601177998439
HEI,HEICO Corporation,United States,USD,industrials,aerospace-defense,26314455040.0,"[26314455040, 9017947456.741333, 7348655729.255676, 7372718153.686523]","[216.16000366210938, 164.64370727539062, 134.16688537597656, 134.606201171875]","[0.0, 0.2, 0.19, 0.18]","[1855342000.0, 1152730000.0, 937385000.0, 1165625000.0]","[5339721000.0, 2942766000.0, 2561022000.0, 2382086000.0]","[3637105000.0, 1119589000.0, 948881000.0, 1315896000.0]","[403596000.0, 351675000.0, 304220000.0, 313984000.0]","[0.08939976113892109, 0.13661852007265204, 0.1344089840481458, 0.12792906304189902]",2757729592.4569864,0.104799038713324
CAPL,CrossAmerica Partners LP,United States,USD,energy,oil-gas-refining-marketing,761304576.0,"[761304576, 641503011.5966797, 630121209.4085693, 529687392.829895]","[20.020000457763672, 16.869583129882812, 16.570276260375977, 13.929171562194824]","[0.0, 2.1, 2.1, 2.1]","[108522000.0, 118406000.0, 106315000.0, 74821000.0]","[1073160000.0, 1138971000.0, 1163827000.0, 939521000.0]","[1178675000.0, 1204400000.0, 1213584000.0, 904674000.0]","[40104000.0, 61970000.0, 21654000.0, 107456000.0]","[0.11201258467037956, 0.11557773503595117, 0.049070784065367704, 0.19601038939606089]",-615882952.0887642,-1.2361189304202025
ADP,"Automatic Data Processing, Inc.",United States,USD,industrials,staffing-employment-services,103198638080.0,"[103198638080, 86252390481.22266, 83567748486.96094, 75890544350.08594]","[252.13999938964844, 210.73609924316406, 204.17684936523438, 185.41952514648438]","[0.0, 5.3, 4.58, 3.9400000000000004]","[42170600000.0, 54804900000.0, 40741800000.0, 31564100000.0]","[8800400000.0, 8263300000.0, 8030700000.0, 7601400000.0]","[47461900000.0, 59842900000.0, 43102400000.0, 33413300000.0]","[3412000000.0, 2948900000.0, 2598500000.0, 2466500000.0]","[0.5461888904127015, 0.4744814854765148, 0.3047327095921714, 0.3281043440780437]",807194123897.7141,7.821751710250032
VTRS,Viatris Inc.,United States,USD,healthcare,drug-manufacturers-specialty-generic,13180824576.0,"[13180824576, 10639780634.953613, 12782861901.612305, 16310666737.688477]","[10.960000038146973, 8.935885429382324, 10.73576545715332, 13.698614120483398]","[0.0, 0.48, 0.48, 0.33999999999999997]","[12976100000.0, 10635400000.0, 10902900000.0, 12867500000.0]","[34709400000.0, 39386800000.0, 43939900000.0, 48685500000.0]","[27218100000.0, 28949900000.0, 34350100000.0, 38598900000.0]","[54700000.0, 2078600000.0, -1269100000.0, -669900000.0]","[0.005421131863499978, 0.06238060604583999, NaN, NaN]",-13947659869.497242,-0.9450205051835062
