Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
SIRI,Sirius XM Holdings Inc.,United States,USD,communication-services,entertainment,11578355712,1271000000.0,9103000000.0,12939000000.0,"[1258000000.0, 1213000000.0]","[0.24261680348636872, 0.25109524458734866]",32379054143.492126,2.7965157530903926
K,Kellanova,United States,USD,consumer-defensive,packaged-foods,21046378496,3330000000.0,12291000000.0,12252000000.0,"[951000000.0, 960000000.0]","[0.11160838774399783, 0.0840446582822455]",401755036.2149296,0.019089034072597606
BLK,"BlackRock, Inc.",United States,USD,financial-services,asset-management,120695889920,19173000000.0,104038000000.0,81971000000.0,"[5502000000.0, 5178000000.0]","[0.1249897617718555, 0.11627368883472101]",3457642092.905426,0.028647554570393658
ANSS,"ANSYS, Inc.",United States,USD,technology,software-application,28609081344,2049567000.0,5273308000.0,1932511000.0,"[500412000.0, 523710000.0]","[0.08792830620729115, 0.09687779579648073]",4786120874.257482,0.16729376300862048
WDAY,"Workday, Inc.",United States,USD,technology,software-application,68426506240,9939000000.0,6513000000.0,8370000000.0,"[1381000000.0, -367000000.0]","[0.1648192313395997, -0.02605105442390806]",11982674665.686836,0.17511744094691392
ALGN,"Align Technology, Inc.",United States,USD,healthcare,medical-devices,20438980608,2446618000.0,3637259000.0,2453388000.0,"[445053000.0, 361573000.0]","[0.12554140327880398, 0.10961529877200263]",5208354545.782892,0.2548245749469666
CSX,CSX Corporation,United States,USD,industrials,railroads,65529257984,3384000000.0,39024000000.0,30275000000.0,"[3715000000.0, 4166000000.0]","[0.14120487666316997, 0.15448956347262527]",29977638921.898033,0.45746953107904176
APH,Amphenol Corporation,United States,USD,technology,electronic-components,79225683968,6835300000.0,9691100000.0,8099900000.0,"[1928000000.0, 1902300000.0]","[0.16210108837637366, 0.1739407723540287]",33866069782.61271,0.42746326805195567
LLY,Eli Lilly and Company,United States,USD,healthcare,drug-manufacturers-general,731811872768,25727000000.0,38279300000.0,53142600000.0,"[5240400000.0, 6244800000.0]","[0.15636985237312653, 0.2435637483912243]",97647702220.31805,0.13343279311795814
TMUS,"T-Mobile US, Inc.",United States,USD,communication-services,telecom-services,192183402496,19015000000.0,188667000000.0,142967000000.0,"[8317000000.0, 2590000000.0]","[0.07756787899548404, 0.03784510469040209]",-67757792727.4241,-2.8363291476910257
HCA,"HCA Healthcare, Inc.",United States,USD,healthcare,medical-care-facilities,84561551360,14927000000.0,41284000000.0,55151000000.0,"[5242000000.0, 5643000000.0]","[0.2015611165033509, 0.2327692778948548]",104009261581.16571,1.2299828930334056
EL,The Estée Lauder Companies Inc.,United States,USD,consumer-defensive,household-personal-products,48316497920,9139000000.0,14276000000.0,16998000000.0,"[1006000000.0, 2390000000.0]","[0.08718587790685127, 0.23090854962530466]",9111021875.429398,0.1885695832201035
ADI,"Analog Devices, Inc.",United States,USD,technology,semiconductors,106163986432,4384022000.0,44410456000.0,13229356000.0,"[3314579000.0, 2748561000.0]","[0.0836832566509396, 0.06803190902127859]",17703739807.430454,0.16675843101247925
MSFT,Microsoft Corporation,United States,USD,technology,software-infrastructure,3123130925056,184257000000.0,227719000000.0,205753000000.0,"[72361000000.0, 72738000000.0]","[0.2917837159907461, 0.3445332715505044]",4396792116449.088,1.4078154973186883
ODFL,"Old Dominion Freight Line, Inc.",United States,USD,industrials,trucking,39778365440,1143333000.0,4369060000.0,1254582000.0,"[1239502000.0, 1377159000.0]","[0.2858256404972854, 0.36727206296339004]",80529185750.57991,2.024446828315425
NVDA,NVIDIA Corporation,United States,USD,technology,semiconductors,2274826125312,44345000000.0,21383000000.0,22750000000.0,"[29760000000.0, 4368000000.0]","[0.5691377610401146, 0.1404283369402394]",2411626454163.05,1.0601366088286361
KMX,"CarMax, Inc.",United States,USD,consumer-cyclical,auto-truck-dealerships,11456552960,5226594000.0,21970203000.0,21123057000.0,"[479204000.0, 484762000.0]","[0.04226279338067447, 0.03390513276790775]",-13211623049.263998,-0.8671571174321561
PSA,Public Storage,United States,USD,real-estate,reit-industrial,50726535168,370002000.0,19439214000.0,9702270000.0,"[2148327000.0, 4349147000.0]","[0.15983859786793841, 0.35747702774010215]",73319147236.03189,1.4453805487248037
UHS,"Universal Health Services, Inc.",United States,USD,healthcare,medical-care-facilities,11893318656,2811350000.0,11156252000.0,7765696000.0,"[717795000.0, 675609000.0]","[0.0790105520510529, 0.06988674986614377]",720188313.6947117,0.06055402487104703
SO,The Southern Company,United States,USD,utilities,utilities-regulated-electric,86971424768,10432000000.0,128899000000.0,104106000000.0,"[3976000000.0, 3535000000.0]","[0.06437843870379109, 0.0576337434249034]",-65960058533.726654,-1.318546810014273
WAB,Westinghouse Air Brake Technologies Corporation,United States,USD,industrials,railroads,29689122816,4855000000.0,14133000000.0,8464000000.0,"[815000000.0, 633000000.0]","[0.0679924293897913, 0.05534663211127509]",2107422141.6600914,0.07098297092578175
KHC,The Kraft Heinz Company,United States,USD,consumer-defensive,packaged-foods,43714801664,7929000000.0,82410000000.0,40617000000.0,"[2855000000.0, 2363000000.0]","[0.05118660189813851, 0.045140360559646125]",-15069476665.524132,-2.9008838617475345
ALLE,Allegion plc,Ireland,USD,industrials,security-protection-services,10880246784,1360900000.0,2950600000.0,2993200000.0,"[540400000.0, 458000000.0]","[0.18664550546996073, 0.17320728226361895]",9265470277.198515,0.8515864080237497
VLO,Valero Energy Corporation,United States,USD,energy,oil-gas-refining-marketing,54709133312,26221000000.0,36835000000.0,34532000000.0,"[8835000000.0, 11528000000.0]","[0.25374303697737277, 0.3499016989798657]",467897338439.5893,8.552453861245136
KMB,Kimberly-Clark Corporation,United States,USD,consumer-defensive,household-personal-products,45216649216,5703000000.0,11641000000.0,16276000000.0,"[1764000000.0, 1934000000.0]","[0.20174458777287296, 0.2304990694443253]",37548878000.90953,0.8304215073863277
DUK,Duke Energy Corporation,United States,USD,utilities,utilities-regulated-electric,80179085312,12769000000.0,164124000000.0,126706000000.0,"[2841000000.0, 2550000000.0]","[0.055774477832517454, 0.049871338151966454]",-95609735720.54199,-0.8386079587789649
ADM,Archer-Daniels-Midland Company,United States,USD,consumer-defensive,farm-products,30467270656,29767000000.0,24864000000.0,30166000000.0,"[3483000000.0, 4340000000.0]","[0.1227264301664104, 0.14030944617222788]",45800902163.38867,1.503282085242151
CE,Celanese Corporation,United States,USD,basic-materials,chemicals,17184673792,6218000000.0,20379000000.0,19045000000.0,"[1960000000.0, 1894000000.0]","[0.15277070980486698, 0.12080971460217793]",14408319616.793198,0.8384401002421541
A,"Agilent Technologies, Inc.",United States,USD,healthcare,diagnostics-research,45197873152,4186000000.0,6577000000.0,4918000000.0,"[1240000000.0, 1254000000.0]","[0.1547757694135588, 0.16398776740680618]",20245778742.274445,0.4479365361770031
EQIX,"Equinix, Inc.",United States,USD,real-estate,reit-specialty,75908423680,3567697000.0,29083027000.0,20137225000.0,"[969178000.0, 704345000.0]","[0.05016954355735929, 0.0415071219733226]",-10719980740.925404,-7.081022393091277
CVS,CVS Health Corporation,United States,USD,healthcare,healthcare-plans,72409743360,67858000000.0,181870000000.0,173092000000.0,"[8344000000.0, 4311000000.0]","[0.07502447823676313, 0.04867854885565773]",-46608663562.166824,-1.5535683245545024
CMS,CMS Energy Corporation,United States,USD,utilities,utilities-regulated-electric,18885679104,2839000000.0,30678000000.0,25392000000.0,"[887000000.0, 837000000.0]","[0.05898962419317055, 0.06059760904932954]",-16440628225.809978,-1.1487200394417751
CME,CME Group Inc.,United States,USD,financial-services,financial-data-stock-exchanges,76744253440,94890200000.0,34815900000.0,102968200000.0,"[3226200000.0, 2691000000.0]","[0.11106244259259805, 0.09289941013825666]",24769718577.992035,0.3227566556153606
AEP,"American Electric Power Company, Inc.",United States,USD,utilities,utilities-regulated-electric,48848392192,6082100000.0,90601900000.0,71398100000.0,"[2208100000.0, 2307200000.0]","[0.05740731347908137, 0.05875921974570244]",-50343637005.95079,-0.9702992293986616
