Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Market Cap History,Stock Price,Dividends,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
282330.KS,"BGF retail CO., LTD.",South Korea,KRW,consumer-defensive,grocery-stores,2021174935552,"[2021174935552, 3078571541796.875, 3029527816796.875, 2791927466796.875]","[117000.0, 178209.640625, 175370.640625, 161616.640625]","[0.0, 4100.0, 4100.0, 3000.0]","[978981168660.0, 889900434320.0, 808328772190.0, 829086121580.0]","[2240097354450.0, 2056334837300.0, 1788049984480.0, 1542083476670.0]","[2144625475390.0, 1983607627850.0, 1787059387270.0, 1674341687930.0]","[195844952000.0, 193538863020.0, 147642852230.0, 122711267430.0]","[0.21456672617914516, 0.22040871672745108, 0.1949303603382401, 0.18900333703818423]",4237311684987.6387,2.096459643573797
097950.KS,CJ Cheiljedang Corporation,South Korea,KRW,consumer-defensive,packaged-foods,5202702761984,"[5202702761984, 4696208846637.5, 5747302659393.75, 6339780626206.25]","[354000.0, 319537.375, 391055.4375, 431368.5625]","[0.0, 4500.0, 5500.0, 6000.0]","[9580237559000.0, 9788044124000.0, 7725600945000.0, 7469913474000.0]","[20026041992000.0, 20225197721000.0, 19130203332000.0, 18141978711000.0]","[17826337301000.0, 18484219204000.0, 16049003859000.0, 15445453188000.0]","[385927260000.0, 595929977000.0, 612890498000.0, 685581662000.0]","[0.05833132265602346, 0.06291129043498427, 0.07671246482897143, 0.07578105018442413]",-5565807943307.902,-0.9347614605062892
004840.KS,"DRB Holding Co., Ltd.",South Korea,KRW,consumer-cyclical,auto-parts,105612754944,"[105612754944, 97518344000.0, 111290562898.04688, 133033377800.58594]","[5480.0, 5060.0, 5774.6083984375, 6902.79248046875]","[0.0, 0.0, 40.0, 30.0]","[508096734480.0, 475692073880.0, 384837852730.0, 360352120080.0]","[455554857620.0, 469546420840.0, 447118709670.0, 416082643010.0]","[465541738320.0, 465469810220.0, 356400809930.0, 312819481260.0]","[15372362160.0, 1534700780.0, -4054340220.0, 2328502080.0]","[0.047940187497197265, 0.010598994639142635, NaN, 0.01490309990206211]",121642009823.49744,1.1517738542848994
017940.KS,E1 Corporation,South Korea,KRW,energy,oil-gas-refining-marketing,428427673600,"[428427673600, 281326765382.8125, 248057378879.8828, 243730122949.21875]","[74100.0, 48657.71875, 42903.51171875, 42155.078125]","[0.0, 5150.0, 3600.0, 2200.0]","[1953815462310.0, 1930286688910.0, 1629020624380.0, 1358137165950.0]","[2643592183870.0, 2409368496590.0, 2370305686900.0, 2373311256540.0]","[2899257176250.0, 2829299481250.0, 2625919365630.0, 2487985637390.0]","[213182997950.0, 141859118470.0, 131758227870.0, 60287879700.0]","[0.08556373833605624, 0.0589677240750011, 0.06116767807728792, 0.03206552262509438]",705949534168.4365,1.6477682877869926
012630.KS,"HDC HOLDINGS CO.,Ltd",South Korea,KRW,real-estate,real-estate-services,406752034816,"[406752034816, 344213280000.0, 345914505004.39453, 640152654583.0078]","[8130.0, 6880.0, 6914.00341796875, 12795.1201171875]","[0.0, 0.0, 250.0, 250.0]","[6590724166780.0, 6762367303820.0, 6451751160570.0, 5830185892910.0]","[5030138951470.0, 4829973934150.0, 4199740487190.0, 3786954904430.0]","[6606454288680.0, 6759502438860.0, 5846684847260.0, 5271895147940.0]","[113059561270.0, -5111233480.0, 113407372880.0, 103601632450.0]","[0.04575388129024041, 0.011023063612566832, 0.05353250843697893, 0.04764491900788741]",560973186325.8047,1.3791527473969953
443060.KS,N/A,N/A,N/A,N/A,N/A,7116445188096,"[7116445188096, NaN, NaN, NaN]","[160100.0, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN]","[597262316830.0, 453230897260.0, 384826277290.0, 428258968700.0]","[59355829660.0, 66584860920.0, 33721544730.0, 35637823440.0]","[416651295010.0, 337598877280.0, 263676668210.0, 209570741160.0]","[151116175330.0, 104926507800.0, 89563977660.0, 108008513040.0]","[0.4233201901324698, 0.41520353751878153, 0.4377753260992237, 0.42504673518368064]",19500713877640.418,2.740232428159518
092230.KS,"KPX Holdings Co., Ltd.",South Korea,KRW,industrials,conglomerates,235479482368,"[235479482368, 189313943972.85156, 215977529360.7422, 232374084156.91406]","[59900.0, 48156.66015625, 54939.19921875, 59110.06640625]","[0.0, 3500.0, 3000.0, 3000.0]","[850600645000.0, 812718002000.0, 775560557000.0, 652676004780.0]","[1078046005080.0, 1007175801000.0, 1039297481680.0, 1045983215810.0]","[465634459170.0, 448980401910.0, 445438442970.0, 361946206730.0]","[83993489310.0, 8912561660.0, 46168282100.0, 140544098850.0]","[0.12649355079361668, 0.041359309269962986, 0.08220162718614066, 0.07731405261340459]",1109930839403.743,4.7134927775540865
051910.KS,"LG Chem, Ltd.",South Korea,KRW,basic-materials,chemicals,28973031489536,"[28973031489536, 50393692760328.0, 37452080672331.0, 60355330151307.0]","[383000.0, 713869.5, 530540.5625, 854984.5625]","[0.0, 3500.0, 10000.0, 12000.0]","[8651075000000.0, 29674369000000.0, 20413820000000.0, 16319700000000.0]","[25442509000000.0, 38299454000000.0, 30721482000000.0, 25069194000000.0]","[13688372000000.0, 30492696000000.0, 27925314000000.0, 22598454000000.0]","[228126000000.0, 1845363000000.0, 3669787000000.0, 512634000000.0]","[0.021234390145149957, 0.050462189597531376, 0.10564386348916767, 0.025187918677831406]",-3786434802528.537,-7.6517972711924545
079550.KS,"LIG Nex1 Co., Ltd.",South Korea,KRW,industrials,aerospace-defense,3321466454016,"[3321466454016, 1715372011068.75, 1609635628125.0, 898941357450.0]","[152400.0, 78707.0078125, 73855.46875, 41246.4375]","[0.0, 1950.0, 1500.0, 1200.0]","[2535880560450.0, 1822951227860.0, 1485925497590.0, 1545723606020.0]","[1279878272820.0, 1189775995260.0, 1090921537870.0, 1049882893080.0]","[2763399823990.0, 2077548155320.0, 1813542650470.0, 1923097847400.0]","[174962143110.0, 122939587370.0, 105055805620.0, 57881698050.0]","[0.14669807339875443, 0.10535311309947348, 0.08941142703528888, 0.06256640423390468]",1983028252157.9473,0.5970339546137096
001120.KS,LX International Corp.,South Korea,KRW,industrials,conglomerates,1199529525248,"[1199529525248, 1066138152362.1094, 1206390622924.2188, 983639451229.6875]","[33350.0, 29641.37890625, 33540.7578125, 27347.703125]","[0.0, 1200.0, 3000.0, 2300.0]","[4033775460670.0, 4482204749190.0, 4376547052900.0, 3162826736740.0]","[3961565270180.0, 3236802584430.0, 2370341968840.0, 2233115467290.0]","[4920385836840.0, 4682532060710.0, 4362644678490.0, 3637611206460.0]","[117082888980.0, 515223865630.0, 350069144530.0, 297586971040.0]","[0.05781380831758587, 0.19577843770521378, 0.18049049244028476, 0.15593220999336926]",602819354829.9902,0.5025464918884416
035420.KS,NAVER Corporation,South Korea,KRW,communication-services,internet-content-information,27569313284096,"[27569313284096, 31819230027000.0, 41460303591687.5, 53043420876875.0]","[182600.0, 210748.5, 274604.28125, 351322.8125]","[0.0, 1205.0, 914.0, 511.0]","[7028076457880.0, 6439570710740.0, 5527878425550.0, 10544659200000.0]","[28709750506510.0, 27459472178390.0, 28163128331480.0, 6469579463450.0]","[11499828148840.0, 10448720408680.0, 9663630407760.0, 8759106628560.0]","[1012321527620.0, 760260876240.0, 16489849771000.0, 1002086766000.0]","[0.04016008504445682, 0.027437591354265427, 0.05551128147676674, 0.1428392089312512]",970166623430.7637,0.03519009028021118
010060.KS,OCI Holdings Company Ltd.,South Korea,KRW,financial-services,asset-management,1925097586688,"[1925097586688, 2092688479218.75, 1800044817687.5, 1963907379312.5]","[98400.0, 106966.2890625, 92008.015625, 100383.734375]","[0.0, 3300.0, 3632.7747, 2906.2197]","[3994170810000.0, 4110803927000.0, 3338987117000.0, 2036042076000.0]","[1962380963000.0, 2634730327000.0, 2365073996000.0, 2401193974000.0]","[2141619139000.0, 2734136888000.0, 2580268702000.0, 2051507407000.0]","[713510158000.0, 880285947000.0, 647647565000.0, -246150678000.0]","[0.09169592464803457, 0.12733690234467676, 0.14151965429607494, NaN]",9629525219268.525,5.002097185023992
001380.KS,"SG Global Co.,Ltd.",South Korea,KRW,consumer-cyclical,auto-parts,80485736448,"[80485736448, 66232119300.0, 78462354500.0, 174235887500.0]","[1790.0, 1473.0, 1745.0, 3875.0]","[NaN, NaN, NaN, NaN]","[57713699590.0, 35078818270.0, 29001076320.0, 48011572620.0]","[140533097720.0, 150856630140.0, 158020378070.0, 150854349270.0]","[57195063600.0, 64775255810.0, 64041656320.0, 72419539470.0]","[20175100730.0, -2445648210.0, -5550659560.0, -2290624500.0]","[0.13182121903583396, NaN, NaN, -0.007970070496093148]",,
034730.KS,SK Inc.,South Korea,KRW,industrials,conglomerates,8259825565696,"[8259825565696, 9102337868456.25, 12715551487800.0, 13279283722882.812]","[151500.0, 166953.1875, 233226.0, 243565.859375]","[0.0, 5000.0, 5000.0, 8000.0]","[64834622000000.0, 64993579000000.0, 49193206000000.0, 38052297000000.0]","[142135642000000.0, 129512281000000.0, 116175157000000.0, 99615609000000.0]","[129091214000000.0, 122697070000000.0, 99815712000000.0, 85807988000000.0]","[-776798000000.0, 1098683000000.0, 1965612000000.0, 189368000000.0]","[NaN, 0.049404467708655975, 0.08326612219086046, -0.158261698879523]",,
003570.KS,"Snt Dynamics Co.,Ltd.",South Korea,KRW,industrials,aerospace-defense,393908715520,"[393908715520, 215044029200.97656, 174199534749.36523, 167611638638.33008]","[17590.0, 9602.794921875, 7778.88330078125, 7484.70068359375]","[0.0, 700.0, 500.0, 400.0]","[586959728950.0, 471157538550.0, 448298673880.0, 384117894490.0]","[469944588530.0, 459836766570.0, 431326407490.0, 449246613880.0]","[356207738530.0, 271939014840.0, 226675590420.0, 235915632070.0]","[49529807110.0, 23006448470.0, 58998656470.0, 8341660360.0]","[0.07074866192585234, 0.03548157560415516, 0.09089346626197621, 0.014740637078208307]",551156235535.6107,1.3991978695064613
077970.KS,"STX Engine Co.,Ltd.",South Korea,KRW,industrials,specialty-industrial-machinery,302797127680,"[302797127680, 310620150000.0, 288761695000.0, 317522820000.0]","[13160.0, 13500.0, 12550.0, 13800.0]","[0.0, 0.0, 0.0, 0.0]","[490898756220.0, 468459982550.0, 427101244910.0, 438696469180.0]","[408235644090.0, 384927690150.0, 410378634000.0, 370565210280.0]","[639500162260.0, 593142012240.0, 553504811660.0, 542790927720.0]","[5684680540.0, -26682909760.0, 1005292490.0, 20647152860.0]","[0.03130068314029332, NaN, NaN, 0.06835360541657519]",,
